原始位置,回收数据位置,回收元数据位置,文件数,逻辑字节,回收UTC时间,内容核验
F:\Documents\楚物志\artifacts\ai-calibration-12-r9.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXY2L08.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXY2L08.log,1,1194577,2026-09-17T20:00:54.9660000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-calibration-12.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RTFIX1U.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ITFIX1U.json,1,332483,2026-09-17T20:00:55.0890000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-calibration-12.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R29OLCT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I29OLCT.log,1,972733,2026-09-17T20:00:55.2220000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-clock-120.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWUN86J.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWUN86J.json,1,14178,2026-09-17T20:00:55.3460000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-clock-120.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RYHTNYG.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IYHTNYG.log,1,40719,2026-09-17T20:00:55.4600000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-code-manifest.json,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RR0BNHS.json,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IR0BNHS.json,1,1769,2026-09-17T20:00:55.5650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulties-final,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RE8HK4T,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IE8HK4T,54,76441509,2026-09-17T20:00:55.8990000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-acceptance-r20.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R41GWS7.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I41GWS7.log,1,1050,2026-09-17T20:00:56.7010000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-acceptance.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWGHJD5.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWGHJD5.log,1,1067,2026-09-17T20:00:56.8320000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-baseline,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVLAK9L,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVLAK9L,4,958264570,2026-09-17T20:00:58.0580000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta-complete.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R9Q0ZSF.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I9Q0ZSF.log,1,58,2026-09-17T20:00:59.7090000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta-current.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIMZA1P.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIMZA1P.log,1,58,2026-09-17T20:00:59.8370000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta-final-r20.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHKDQKS.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHKDQKS.log,1,0,2026-09-17T20:00:59.9450000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZHK6FX.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZHK6FX.log,1,0,2026-09-17T20:01:00.0520000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta-r14.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RMR8TZM.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IMR8TZM.log,1,58,2026-09-17T20:01:00.1700000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-beta.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R8C6Y37.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I8C6Y37.log,1,0,2026-09-17T20:01:00.2800000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-fairness-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R9DOTN3.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I9DOTN3.log,1,21170,2026-09-17T20:01:00.4020000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-final-continuation.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RR6QFET.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IR6QFET.log,1,347,2026-09-17T20:01:00.5480000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-final-layout.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RQTSOSC.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IQTSOSC.log,1,2560,2026-09-17T20:01:00.6930000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\ai-difficulty-gamepad-gui.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R0OE215.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I0OE215.log,1,2175,2026-09-17T20:01:00.8400000Z,SHA-256全部一致
