原始位置,回收数据位置,回收元数据位置,文件数,逻辑字节,回收UTC时间,内容核验
F:\Documents\楚物志\artifacts\melody-green-engine.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R7LSZ4M.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I7LSZ4M.log,1,6055,2026-09-17T20:04:39.3650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\melody-green.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJN54ZZ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJN54ZZ.log,1,6233,2026-09-17T20:04:39.8650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\melody-red-engine.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGTV0O9.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGTV0O9.log,1,7015,2026-09-17T20:04:40.3060000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\melody-red.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R2BOCSU.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I2BOCSU.log,1,7279,2026-09-17T20:04:40.7950000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\melody-reference-final-engine.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RN6ZE5H.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IN6ZE5H.log,1,1857,2026-09-17T20:04:41.2220000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\melody-reference-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWCEVAE.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWCEVAE.log,1,1880,2026-09-17T20:04:41.6820000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\microphone-format-probe.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6WG90A.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6WG90A.log,1,1083,2026-09-17T20:04:42.1500000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\microphone-live-probe.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RI278DF.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$II278DF.log,1,1141,2026-09-17T20:04:42.6570000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\migrate_action_story_integration.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R2Q8J0M.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I2Q8J0M.py,1,5294,2026-09-17T20:04:43.3180000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\migrate_action_story_tests.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R9LYFO7.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I9LYFO7.py,1,3837,2026-09-17T20:04:43.9010000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\minigame-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RFYENN1.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IFYENN1.log,1,5200,2026-09-17T20:04:44.3820000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-appearance-invariance.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$REBAX61.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IEBAX61.log,1,1774,2026-09-17T20:04:44.8860000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-art-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXVTROH.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXVTROH.log,1,4478,2026-09-17T20:04:45.3780000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-legacy-operators-gut.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RX0C7J9.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IX0C7J9.log,1,1627,2026-09-17T20:04:45.8780000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-pixel-play,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXUHN8Q,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXUHN8Q,8,2026122,2026-09-17T20:04:46.4100000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-pixel-ui,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R3KCZMQ,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I3KCZMQ,46,56163372,2026-09-17T20:04:47.5370000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-pixel-ui-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVEP8EV.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVEP8EV.log,1,2300,2026-09-17T20:04:48.7470000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-pixel-ui-refined.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RRZHY2O.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IRZHY2O.log,1,2139,2026-09-17T20:04:49.3480000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-pixel-ui.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZET9B1.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZET9B1.log,1,3286,2026-09-17T20:04:50.0650000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-v2-pixel-gut.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RC7V54H.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IC7V54H.log,1,2092,2026-09-17T20:04:50.8240000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\motion-v2-play,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RD7DREC,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ID7DREC,10,390304,2026-09-17T20:04:51.4930000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-host-regression-v3-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RS3QIT4.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IS3QIT4.log,1,1849,2026-09-17T20:04:52.6540000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-host-v3,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHM3DJA,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHM3DJA,39,35706325,2026-09-17T20:04:53.2950000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-host-v3.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RRVK5HT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IRVK5HT.log,1,2736,2026-09-17T20:04:54.4670000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-host-v4,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RI8JKPX,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$II8JKPX,36,35218754,2026-09-17T20:04:55.1100000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-host-v4-render.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIUEM88.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIUEM88.log,1,2680,2026-09-17T20:04:56.2600000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-input-avatar-regression,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RYC6JEU,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IYC6JEU,1,13088,2026-09-17T20:04:56.9040000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RSS496M,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ISS496M,763,274820028,2026-09-17T20:04:59.4780000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-1280-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVNV4F8.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVNV4F8.log,1,1365,2026-09-17T20:05:01.7620000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-capture-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVSDML6.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVSDML6.log,1,1361,2026-09-17T20:05:02.5990000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-capture.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGXW9JQ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGXW9JQ.log,1,1315,2026-09-17T20:05:03.2360000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-dance.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RY5VUUT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IY5VUUT.log,1,1093,2026-09-17T20:05:03.8120000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-text-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RD9XKSK.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ID9XKSK.log,1,1551,2026-09-17T20:05:04.3520000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-tiqin-debug.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RYSZTG2.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IYSZTG2.log,1,1087,2026-09-17T20:05:04.9300000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-motion-v4-tiqin-gupen-final.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXK0V2O.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXK0V2O.log,1,1138,2026-09-17T20:05:05.4520000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-pixel-review,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R0BOHDD,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I0BOHDD,43,95373712,2026-09-17T20:05:06.1310000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-r4-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZ1EPPT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZ1EPPT.log,1,4083,2026-09-17T20:05:07.4410000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-contracts.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RGELVSQ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IGELVSQ.log,1,2369,2026-09-17T20:05:08.0780000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-final-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RE80148.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IE80148.log,1,10412,2026-09-17T20:05:08.7570000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RCFX1WT.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ICFX1WT.log,1,21371,2026-09-17T20:05:09.3950000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-lessons.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RABDM12.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IABDM12.log,1,2161,2026-09-17T20:05:09.9600000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-normal-input.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RRY4B1E.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IRY4B1E.log,1,5516,2026-09-17T20:05:10.4330000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-poses.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZ7DA92.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZ7DA92.log,1,1093,2026-09-17T20:05:11.0840000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-test_heritage_craft_presentation.gd.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RFCVTPX.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IFCVTPX.log,1,1952,2026-09-17T20:05:11.6980000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-test_heritage_preserved_tutorials.gd.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZ7VC8O.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZ7VC8O.log,1,2128,2026-09-17T20:05:12.2720000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-test_music_input_avatar_regression.gd.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RD9K668.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ID9K668.log,1,1853,2026-09-17T20:05:12.8500000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\music-v3-tiqin.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1JD6R2.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1JD6R2.log,1,1850,2026-09-17T20:05:13.4300000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\paper-detail-cover-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$ROBJXN3.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IOBJXN3.log,1,3268,2026-09-17T20:05:13.9760000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\paper-detail-v4,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6Y870D,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6Y870D,24,16617170,2026-09-17T20:05:14.5940000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\paper-detail-v4.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RNW0O7N.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$INW0O7N.log,1,1464,2026-09-17T20:05:15.6680000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\paper_guide.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RHTHH4H.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IHTHH4H.py,1,620,2026-09-17T20:05:16.2920000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-gallery-before.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RX9VSCE.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IX9VSCE.log,1,2602,2026-09-17T20:05:16.8030000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-gallery-d3d-after.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R4GLWO0.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I4GLWO0.log,1,2599,2026-09-17T20:05:17.5230000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-gallery-d3d-live-before.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RZG716I.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IZG716I.log,1,1541,2026-09-17T20:05:18.0760000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-gallery-gl-live-after.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RAXMEDZ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IAXMEDZ.log,1,2623,2026-09-17T20:05:18.7200000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-gallery-gl-live-before.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RQ68RI6.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IQ68RI6.log,1,2621,2026-09-17T20:05:19.3860000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\perf-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RBQXKMU.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IBQXKMU.log,1,1467,2026-09-17T20:05:19.9830000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\performance-gallery,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RXZEHH3,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IXZEHH3,33,21282310,2026-09-17T20:05:20.6380000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\performance-lessons,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R7S0EIV,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I7S0EIV,1,1304,2026-09-17T20:05:21.8560000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\performance-lessons-v3-real-clock-fixed.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RIBIHYY.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IIBIHYY.log,1,2236,2026-09-17T20:05:22.9440000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\performance-lessons-v3-real-clock.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6WOA6S.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6WOA6S.log,1,2236,2026-09-17T20:05:23.6050000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-all-art-check.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RCBNBV1.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ICBNBV1.log,1,22100,2026-09-17T20:05:24.1580000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-art-review,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJ9FX2A,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJ9FX2A,505,283653184,2026-09-17T20:05:25.8010000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-art-root-check.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RTT4K6L.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ITT4K6L.log,1,3572,2026-09-17T20:05:27.7770000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-final-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$REM4V00.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IEM4V00.log,1,17810,2026-09-17T20:05:28.3530000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-font-v2,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RKC818O,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IKC818O,4,51837,2026-09-17T20:05:28.9900000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-font-v2.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJFP859.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJFP859.log,1,1036,2026-09-17T20:05:30.5870000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-full-gut-first-pass.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R1695AJ.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I1695AJ.log,1,93340,2026-09-17T20:05:31.3590000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-full-verify-first-pass.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R5K2EBN.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I5K2EBN.log,1,0,2026-09-17T20:05:32.0770000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-full-verify.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RC3OMT2.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IC3OMT2.log,1,0,2026-09-17T20:05:32.8600000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-gallery-guide-recheck.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R4UNQ2N.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I4UNQ2N.log,1,46610,2026-09-17T20:05:33.4700000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-gallery-recheck.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R49S7D3.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I49S7D3.log,1,2416,2026-09-17T20:05:34.2000000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-guide-recheck.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RWO4CHV.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IWO4CHV.log,1,3112,2026-09-17T20:05:35.1390000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-host-v2,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R6DKJG1,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I6DKJG1,17,324275,2026-09-17T20:05:35.9200000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-normal-input-recheck.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RFXTD65.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IFXTD65.log,1,2234,2026-09-17T20:05:37.4140000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-normal-input.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$R352HZB.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$I352HZB.log,1,4762,2026-09-17T20:05:38.0790000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-resources-focused.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RP5RK89.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IP5RK89.log,1,2284,2026-09-17T20:05:38.7610000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-resources-recheck.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RCKJN61.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$ICKJN61.log,1,33294,2026-09-17T20:05:39.4520000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-story-v2-import.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RT9SKDS.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IT9SKDS.log,1,6176,2026-09-17T20:05:40.0700000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-v2,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RPYYE5W,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IPYYE5W,69,1582896,2026-09-17T20:05:40.8630000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\pixel-v3,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RX0BXDR,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IX0BXDR,286,143459572,2026-09-17T20:05:42.6480000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\prepare_dong_sources.py,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RR1Y13E.py,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IR1Y13E.py,1,1335,2026-09-17T20:05:44.1180000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\preserved-tutorial-ui,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVCPL6D,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVCPL6D,9,5957652,2026-09-17T20:05:44.7940000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\preview-music-v3-user-error.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RJR4T3Z.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IJR4T3Z.log,1,0,2026-09-17T20:05:46.3900000Z,SHA-256全部一致
F:\Documents\楚物志\artifacts\preview-music-v3-user.log,F:\$Recycle.Bin\S-1-5-21-1942464140-2856953516-1393776520-1001\$RVV5BKK.log,F:\$RECYCLE.BIN\S-1-5-21-1942464140-2856953516-1393776520-1001\$IVV5BKK.log,1,1109,2026-09-17T20:05:47.1260000Z,SHA-256全部一致
